timestamp_seconds,user_name,process_name,process_id,operation,path,bytes,byte_entropy
2.123,student,firefox,2003,write,/home/student/Downloads/file8.html,34177,5.06
12.273,student,firefox,2003,write,/home/student/Downloads/file0.pdf,119664,5.01
13.897,student,libreoffice,2002,open,/home/student/Documents/file2.ods,0,0.0
19.55,student,libreoffice,2002,read,/home/student/Documents/file5.ods,121248,4.23
21.757,student,firefox,2003,open,/home/student/Downloads/file8.html,0,0.0
21.982,student,libreoffice,2002,read,/home/student/Documents/file0.ods,70204,4.64
23.408,student,libreoffice,2002,read,/home/student/Documents/file5.odt,37512,4.84
24.288,student,firefox,2003,open,/home/student/Downloads/file6.html,0,0.0
24.313,student,libreoffice,2002,write,/home/student/Documents/file6.odt,80309,4.83
28.526,student,code,2001,write,/home/student/Projects/app/file7.md,6807,3.84
29.434,student,firefox,2003,read,/home/student/Downloads/file6.html,103063,5.43
30.585,student,libreoffice,2002,read,/home/student/Documents/file5.odt,34244,5.0
36.207,student,code,2001,close,/home/student/Projects/app/file3.md,0,0.0
40.125,student,libreoffice,2002,read,/home/student/Documents/file6.ods,23052,4.44
42.778,student,code,2001,open,/home/student/Projects/app/file4.py,0,0.0
45.964,student,firefox,2003,read,/home/student/Downloads/file0.pdf,74816,5.06
47.914,student,firefox,2003,write,/home/student/Downloads/file4.html,91230,5.09
48.248,student,firefox,2003,open,/home/student/Downloads/file7.html,0,0.0
50.432,student,code,2001,write,/home/student/Projects/app/file1.md,96419,3.97
52.96,student,firefox,2003,open,/home/student/Downloads/file4.html,0,0.0
69.11,student,code,2001,read,/home/student/Projects/app/file7.md,71845,4.3
69.154,student,code,2001,read,/home/student/Projects/app/file8.py,136128,3.69
77.102,student,code,2001,read,/home/student/Projects/app/file0.md,65292,4.05
83.795,student,firefox,2003,read,/home/student/Downloads/file8.pdf,135555,5.14
87.238,student,libreoffice,2002,open,/home/student/Documents/file4.ods,0,0.0
87.251,student,libreoffice,2002,write,/home/student/Documents/file7.ods,20956,4.54
88.369,student,firefox,2003,read,/home/student/Downloads/file0.pdf,119059,5.16
101.748,student,code,2001,open,/home/student/Projects/app/file2.md,0,0.0
102.386,student,libreoffice,2002,read,/home/student/Documents/file3.ods,130053,5.03
104.63,student,libreoffice,2002,close,/home/student/Documents/file2.odt,0,0.0
108.023,student,code,2001,read,/home/student/Projects/app/file5.md,134534,4.01
108.771,student,firefox,2003,write,/home/student/Downloads/file4.pdf,62048,5.01
109.103,student,code,2001,read,/home/student/Projects/app/file4.md,142665,4.3
119.936,student,firefox,2003,write,/home/student/Downloads/file6.pdf,94632,5.64
123.578,student,libreoffice,2002,open,/home/student/Documents/file3.odt,0,0.0
123.92,student,code,2001,close,/home/student/Projects/app/file8.md,0,0.0
124.827,student,firefox,2003,read,/home/student/Downloads/file6.pdf,89410,5.14
125.511,student,code,2001,read,/home/student/Projects/app/file9.py,94405,4.32
126.332,student,firefox,2003,read,/home/student/Downloads/file0.pdf,114725,4.87
127.986,student,firefox,2003,close,/home/student/Downloads/file1.html,0,0.0
139.783,student,firefox,2003,read,/home/student/Downloads/file8.html,44933,5.11
139.865,student,code,2001,open,/home/student/Projects/app/file7.py,0,0.0
140.047,student,firefox,2003,open,/home/student/Downloads/file5.pdf,0,0.0
140.682,student,libreoffice,2002,read,/home/student/Documents/file0.odt,68640,5.03
144.043,student,code,2001,write,/home/student/Projects/app/file4.md,32861,3.93
149.254,student,libreoffice,2002,open,/home/student/Documents/file2.ods,0,0.0
154.061,student,cryptor,6666,open,/home/student/Documents/resume.docx,0,0.0
154.18,student,cryptor,6666,read,/home/student/Documents/resume.docx,382370,4.53
154.441,student,cryptor,6666,write,/home/student/Documents/resume.docx.locked,1932584,7.93
154.571,student,cryptor,6666,delete,/home/student/Documents/resume.docx,0,0.0
155.052,student,cryptor,6666,open,/home/student/Documents/budget.ods,0,0.0
155.249,student,firefox,2003,open,/home/student/Downloads/file8.html,0,0.0
155.281,student,cryptor,6666,read,/home/student/Documents/budget.ods,1647837,4.44
155.464,student,cryptor,6666,write,/home/student/Documents/budget.ods.locked,1903597,7.94
155.597,student,cryptor,6666,delete,/home/student/Documents/budget.ods,0,0.0
155.603,student,libreoffice,2002,open,/home/student/Documents/file3.ods,0,0.0
155.931,student,cryptor,6666,open,/home/student/Documents/tax/return_2025.xlsx,0,0.0
156.165,student,cryptor,6666,read,/home/student/Documents/tax/return_2025.xlsx,863052,4.77
156.419,student,cryptor,6666,write,/home/student/Documents/tax/return_2025.xlsx.locked,457622,7.81
156.542,student,cryptor,6666,delete,/home/student/Documents/tax/return_2025.xlsx,0,0.0
156.748,student,cryptor,6666,open,/home/student/Documents/tax/w2.pdf,0,0.0
157.04,student,cryptor,6666,read,/home/student/Documents/tax/w2.pdf,1539013,5.1
157.284,student,cryptor,6666,write,/home/student/Documents/tax/w2.pdf.locked,963906,7.87
157.407,student,cryptor,6666,delete,/home/student/Documents/tax/w2.pdf,0,0.0
157.641,student,cryptor,6666,open,/home/student/Documents/tax/receipts.csv,0,0.0
157.853,student,cryptor,6666,read,/home/student/Documents/tax/receipts.csv,834461,4.37
157.961,student,cryptor,6666,write,/home/student/Documents/tax/receipts.csv.locked,1138311,7.86
158.074,student,cryptor,6666,delete,/home/student/Documents/tax/receipts.csv,0,0.0
158.494,student,cryptor,6666,open,/home/student/Pictures/wedding.jpg,0,0.0
158.545,student,code,2001,write,/home/student/Projects/app/file3.py,119672,4.31
158.609,student,cryptor,6666,read,/home/student/Pictures/wedding.jpg,1592405,4.38
158.748,student,cryptor,6666,write,/home/student/Pictures/wedding.jpg.locked,1206795,7.9
158.818,student,cryptor,6666,delete,/home/student/Pictures/wedding.jpg,0,0.0
159.2,student,cryptor,6666,open,/home/student/Pictures/graduation.png,0,0.0
159.45,student,cryptor,6666,read,/home/student/Pictures/graduation.png,1869833,4.41
159.711,student,cryptor,6666,write,/home/student/Pictures/graduation.png.locked,1429265,7.86
159.823,student,cryptor,6666,delete,/home/student/Pictures/graduation.png,0,0.0
160.351,student,cryptor,6666,open,/home/student/Pictures/trip/beach.jpg,0,0.0
160.458,student,firefox,2003,open,/home/student/Downloads/file8.html,0,0.0
160.587,student,cryptor,6666,read,/home/student/Pictures/trip/beach.jpg,1323905,4.55
160.798,student,cryptor,6666,write,/home/student/Pictures/trip/beach.jpg.locked,1301565,7.89
160.923,student,cryptor,6666,delete,/home/student/Pictures/trip/beach.jpg,0,0.0
161.275,student,cryptor,6666,open,/home/student/Desktop/passwords.txt,0,0.0
161.468,student,cryptor,6666,read,/home/student/Desktop/passwords.txt,190598,5.03
161.636,student,cryptor,6666,write,/home/student/Desktop/passwords.txt.locked,1523141,7.83
161.724,student,cryptor,6666,delete,/home/student/Desktop/passwords.txt,0,0.0
162.262,student,cryptor,6666,open,/home/student/Desktop/todo.md,0,0.0
162.519,student,cryptor,6666,read,/home/student/Desktop/todo.md,1926653,3.92
162.626,student,cryptor,6666,write,/home/student/Desktop/todo.md.locked,922213,7.91
162.762,student,cryptor,6666,delete,/home/student/Desktop/todo.md,0,0.0
163.194,student,cryptor,6666,open,/home/student/Videos/birthday.mp4,0,0.0
163.405,student,cryptor,6666,read,/home/student/Videos/birthday.mp4,1672348,4.32
163.622,student,cryptor,6666,write,/home/student/Videos/birthday.mp4.locked,1346240,7.84
163.69,student,cryptor,6666,delete,/home/student/Videos/birthday.mp4,0,0.0
164.007,student,cryptor,6666,open,/home/student/Music/playlist.m3u,0,0.0
164.166,student,cryptor,6666,read,/home/student/Music/playlist.m3u,533167,4.42
164.355,student,cryptor,6666,write,/home/student/Music/playlist.m3u.locked,889952,7.75
164.463,student,cryptor,6666,delete,/home/student/Music/playlist.m3u,0,0.0
165.043,student,cryptor,6666,open,/home/student/Projects/thesis/chapter1.tex,0,0.0
165.32,student,cryptor,6666,read,/home/student/Projects/thesis/chapter1.tex,1718086,5.1
165.597,student,cryptor,6666,write,/home/student/Projects/thesis/chapter1.tex.locked,785420,8.0
165.716,student,cryptor,6666,delete,/home/student/Projects/thesis/chapter1.tex,0,0.0
165.945,student,cryptor,6666,open,/home/student/Projects/thesis/data.csv,0,0.0
166.219,student,cryptor,6666,read,/home/student/Projects/thesis/data.csv,492684,4.39
166.358,student,cryptor,6666,write,/home/student/Projects/thesis/data.csv.locked,660282,7.96
166.491,student,cryptor,6666,delete,/home/student/Projects/thesis/data.csv,0,0.0
167.022,student,cryptor,6666,open,/home/student/.config/app/settings.json,0,0.0
167.217,student,cryptor,6666,read,/home/student/.config/app/settings.json,1629794,5.83
167.391,student,cryptor,6666,write,/home/student/.config/app/settings.json.locked,1547425,7.94
